Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,25.11,25.25,25.00,25.01,680400,25.01
2009-12-30,25.67,25.67,24.67,25.11,1015000,25.11
2009-12-29,26.51,26.63,25.86,25.89,824300,25.89
2009-12-28,26.39,26.56,26.16,26.49,629500,26.49
2009-12-24,26.28,26.68,26.14,26.35,438100,26.35
2009-12-23,26.11,26.19,25.74,26.15,622700,26.15
2009-12-22,25.57,26.10,25.36,26.08,791500,26.08
2009-12-21,25.49,25.77,25.34,25.57,1355300,25.57
2009-12-18,24.48,25.29,24.25,25.29,3139600,25.29
2009-12-17,24.12,24.27,23.75,24.06,1935500,24.06
2009-12-16,24.34,24.62,24.05,24.30,4252700,24.30
2009-12-15,24.70,24.70,24.12,24.28,1368200,24.28
2009-12-14,24.54,24.78,24.45,24.64,1495100,24.64
2009-12-11,24.24,24.66,24.06,24.44,2019200,24.44
2009-12-10,24.07,24.34,23.85,24.04,1422100,24.04
2009-12-09,24.38,24.63,23.91,24.05,1062000,24.05
2009-12-08,24.45,24.80,24.26,24.36,1206500,24.36
2009-12-07,24.40,24.78,24.07,24.72,933100,24.72
2009-12-04,25.00,25.42,24.39,24.51,884000,24.51
2009-12-03,25.86,25.86,24.60,24.68,1241200,24.68
2009-12-02,25.95,26.19,25.78,25.89,813400,25.89
2009-12-01,26.28,26.47,25.75,25.85,1125900,25.85
2009-11-30,25.92,25.94,25.31,25.83,1419400,25.83
2009-11-27,25.63,26.17,25.50,25.79,274000,25.79
2009-11-25,26.84,26.99,26.33,26.38,897100,26.38
2009-11-24,26.22,26.85,25.42,26.63,1761100,26.63
2009-11-23,25.35,26.06,25.33,26.02,1049100,26.02
2009-11-20,25.11,25.38,25.04,25.06,886200,25.06
2009-11-19,25.37,25.51,25.12,25.18,559300,25.18
2009-11-18,25.65,25.65,25.18,25.54,691400,25.54
2009-11-17,25.33,25.58,25.02,25.55,711800,25.55
2009-11-16,25.15,25.73,24.99,25.50,663100,25.50
2009-11-13,24.93,25.56,24.82,24.97,585100,24.97
2009-11-12,25.13,25.26,24.68,24.82,819000,24.82
2009-11-11,24.76,25.24,24.51,25.16,941500,25.16
2009-11-10,23.90,24.99,23.88,24.77,1324000,24.77
2009-11-09,23.58,24.07,23.52,24.03,816700,24.03
2009-11-06,23.91,23.99,23.26,23.34,618200,23.34
2009-11-05,23.45,24.34,23.08,23.99,3058900,23.99
2009-11-04,22.45,23.00,22.23,22.55,1256600,22.55
2009-11-03,22.21,22.30,21.88,22.02,1062300,22.02
2009-11-02,22.39,22.83,22.22,22.34,1031500,22.34
2009-10-30,22.63,23.38,22.30,22.37,1732700,22.37
2009-10-29,22.51,23.75,22.36,23.69,1382600,23.69
2009-10-28,22.51,22.75,22.22,22.50,1679700,22.50
2009-10-27,22.61,22.65,22.16,22.50,893800,22.50
2009-10-26,22.56,23.20,22.56,22.68,1327600,22.68
2009-10-23,22.70,22.97,22.18,22.63,778200,22.63
2009-10-22,21.67,22.83,21.65,22.72,1570900,22.72
2009-10-21,22.29,22.47,21.53,21.78,1142200,21.78
2009-10-20,22.86,23.00,22.25,22.37,959800,22.37
2009-10-19,22.79,23.22,22.42,22.96,818600,22.96
2009-10-16,22.86,22.86,22.20,22.70,1116700,22.70
2009-10-15,22.61,22.89,22.55,22.87,1169000,22.87
2009-10-14,22.69,22.89,22.53,22.70,1567400,22.70
2009-10-13,22.97,22.97,22.51,22.60,797100,22.60
2009-10-12,23.19,23.23,22.86,22.99,2078800,22.99
2009-10-09,22.88,23.40,22.84,23.25,832500,23.25
